Fecha,Noticia,Sentiment_Polarity,Sentiment_Subjectivity
2024-12-10 16:43:55.513419,"Stock Market Today: Dow, S&P 500 Fall; Tesla, Nvidia, Oracle, Alphabet, More Movers. The Dow, S&P 500, and Nasdaq closed lower Tuesday as the stock rally stalled ahead of inflation data.",0.2,0.3
2024-12-10 16:40:55.518484,Nvidia facing Chinese anti-monopoly probe as business practices come under scrutiny. Nvidia's acquisition of Mellanox Technologies is being investigated by China; The second-biggest company in the world will cooperate with regulators...,0.0,0.0
2024-12-10 15:44:00.035176,Bipartisan Bill Seeks to Boost Competition in Pentagon’s AI and Cloud Contracts. Nvidia has expressed its willingness to cooperate with Chinese regulators after the country launched an investigation into the US tech...,0.0,0.0
2024-12-10 15:44:00.060118,"After Getting Dethroned By Apple, Nvidia Faces This New Threat. What are the Magnificent Seven stocks? How much market cap weighting do AAPL, MSFT, GOOGL, AMZN, META, TSLA and NVDA have on the Nasdaq?1 hour ago",0.4454545454545454,0.5515151515151515
2024-12-10 14:44:00.080990,"NVIDIA Sued for Abusing Its Monopoly Position in China. NVIDIA holds a dominant position in the graphics card market, with its GeForce RTX series leading in both recreational and professional segments.",0.1,0.1
2024-12-10 14:44:00.083040,"From TikTok to Nvidia, the US-China Tech War Is Getting Uglier. ByteDance's current dilemma is a taste of what's to come as more firms will get pinched from both the US and Chinese sides.",0.16666666666666666,0.3
2024-12-10 14:44:00.112952,Broadcom Shares Slide as Nvidia’s Woes Drag Semiconductor Stocks Lower: Retail Bets on Strong Earnings. The company's stock tumbled despite a price hike from Citigroup and the launch of Bitnami. Broadcom Shares Slide as Nvidia's Woes Drag Semiconductor Stocks...,0.07777777777777779,0.2916666666666667
2024-12-10 14:44:00.130780,"NVIDIA Unusual Options Activity For December 10. Deep-pocketed investors have adopted a bearish approach towards NVIDIA. NVDA-2.16%. Get Free Report. , and it's something market players shouldn't ignore.",0.30000000000000004,0.9
2024-12-10 14:44:00.153804,"Alphabet Surges 5%, Oracle Slides 8% on Missed Targets, Nvidia Slips 2.5%. U.S. stocks were mostly unchanged Tuesday as investors awaited U.S. inflation data that could influence the Federal Reserve's next interest rate decision at...",0.25,0.25
2024-12-10 14:44:00.172626,"The Year’s Best Dow Stock Not Named Nvidia. Walmart stock is up nearly 80% this year, trouncing the rest of retail and even Amazon. In fact, Nvidia is the only stock in the Dow Jones Industrial...",0.3666666666666667,0.5666666666666667
